Country,Adult Mortality Rate,Alcohol Comsumption,Tobacco Comsumption,Alcohol Abstainers,Population Thousands
Albania,0.96,7.5,0.292,0.252,2926
Algeria,0.95,0.9,0.156,0.935,40606
Argentina,1.11,9.8,0.22,0.067,43847
Armenia,1.16,5.5,0.268,0.455,2925
Australia,0.61,10.6,0.148,0.085,24126
Austria,0.62,11.6,0.297,0.088,8712
Azerbaijan,1.18,0.8,0.214,0.532,9725
Bahamas,1.59,4.4,0.118,0.33,391
Bahrain,0.57,1.9,0.217,0.844,1425
Bangladesh,1.3,0,0.229,0.925,162952
Barbados,1,9.6,0.082,0.251,285
Belarus,1.61,11.2,0.283,0.075,9480
Belgium,0.72,12.1,0.283,0.094,11358
Benin,2.42,3,0.065,0.695,10872
Bolivia (Plurinational State of),1.82,4.8,0.389,0.12,10888
Bosnia and Herzegovina,0.92,6.4,0.39,0.274,3517
Botswana,2.49,8.4,0.201,0.53,2250
Brazil,1.43,7.8,0.14,0.214,207653
Brunei Darussalam,0.98,0.4,0.165,0.386,423
Bulgaria,1.35,12.7,0.373,0.139,7131
Burkina Faso,2.55,8.2,0.128,0.585,18646
Cabo Verde,1.22,5.7,0.093,0.557,540
Cambodia,1.7,6.7,0.179,0.456,15762
Canada,0.63,8.9,0.143,0.122,36290
Chile,0.87,9.3,0.379,0.066,17910
China,0.8,7.2,0.252,0.421,1411415
Colombia,1.37,5.8,0.091,0.264,48653
Comoros,2.25,0.9,0.14,0.933,796
Congo,2.61,7.8,0.27,0.297,5126
Costa Rica,0.97,4.8,0.119,0.279,4857
Croatia,0.88,8.9,0.371,0.185,4213
Cuba,0.92,6.1,0.352,0.297,11476
Cyprus,0.55,10.8,0.362,0.136,1170
Czechia,0.81,14.4,0.344,0.093,10611
Denmark,0.65,10.4,0.191,0.107,5712
Djibouti,2.45,0.5,0.131,0.689,942
Dominican Republic,1.6,6.9,0.138,0.328,10649
Ecuador,1.14,4.4,0.072,0.116,16385
Egypt,1.65,0.4,0.252,0.943,95689
El Salvador,1.77,3.7,0.107,0.35,6345
